iter	RMSE
134	0.7685789952
135	0.7668279175
136	0.7656750672
137	0.7646754948
138	0.7639336667
139	0.7633670893
140	0.7628011172
141	0.7624596242
142	0.7621493254
143	0.7619267815
144	0.7612866966
145	0.761087921
146	0.7605460109
147	0.7595045201
148	0.7590114007
149	0.7585629699
150	0.7581542332
151	0.757308494
152	0.756855561
153	0.7560542242
154	0.7556892976
155	0.7552906966
156	0.7537494768
157	0.753145756
158	0.751670503
159	0.7507370791
160	0.750161859
161	0.7485416395
162	0.7474504537
163	0.746025096
164	0.7458280938
165	0.744559771
166	0.7435913588
167	0.7431335347
168	0.7423873132
169	0.7421832333
170	0.7416074506
171	0.7412938895
172	0.7402992133
173	0.7401234633
174	0.7394325158
175	0.7386967979
176	0.7376482534
177	0.7366964417
178	0.7365162873
179	0.7355278388
180	0.7344409859
181	0.7336853911
182	0.7331617481
183	0.7330150312
184	0.7326719454
185	0.7318519277
186	0.7305417178
187	0.7298999391
188	0.728989179
189	0.7281299537
190	0.7275494412
191	0.7266464613
192	0.7257910921
193	0.7254887303
194	0.7250149271
195	0.7240992563
196	0.7238375008
197	0.723006392
198	0.7224453571
199	0.7216770986
200	0.7211126886
201	0.7208680378
202	0.7202532231
203	0.7195869181
204	0.7194231781
205	0.7189704911
206	0.7187163974
207	0.7182412657
208	0.717652069
209	0.7171357304
210	0.7167960116
211	0.7161530958
212	0.7156888565
213	0.714728807
214	0.7143317461
215	0.7130295563
216	0.7123075313
217	0.7115964816
218	0.7108423477
219	0.710317368
220	0.7098072334
221	0.7088811941
222	0.7083225655
223	0.7080590927
224	0.70744709
225	0.7064218659
226	0.7056660219
227	0.7050231763
228	0.7043273005
229	0.7036652343
230	0.7031480204
231	0.7025719706
232	0.7017090147
233	0.7013526549
234	0.7006679922
235	0.7001115398
236	0.699564302
237	0.6990985627
238	0.6985867333
239	0.6978320129
240	0.69705578
241	0.6963867972
242	0.6958825301
243	0.6948764512
244	0.6942765295
245	0.6939443785
246	0.6935466974
247	0.6930399345
248	0.6926112222
249	0.692213688
250	0.691622159
251	0.6913796493
252	0.6909626057
253	0.6903699825
254	0.6902043796
255	0.6895584198
256	0.6889838656
257	0.6886171684
258	0.6879794208
259	0.6874106561
260	0.6869664364
261	0.6868717353
262	0.6865081885
263	0.6859603724
264	0.685573728
265	0.6850024445
266	0.6847192494
267	0.6844537774
268	0.6838244249
269	0.6834164785
270	0.6831191589
271	0.6827663736
272	0.6824197031
273	0.6818836908
274	0.6815447705
275	0.6810192049
276	0.6806549191
277	0.6803317831
278	0.6801886212
279	0.6798536208
280	0.6791906124
281	0.6786545779
282	0.6780163627
283	0.6773462402
284	0.6769147631
285	0.6764230486
286	0.6755196151
287	0.6749235665
288	0.6745808254
289	0.6740874517
290	0.6739089528
291	0.6736514027
292	0.6733795979
293	0.6728611459
294	0.672826892
295	0.6719955588
296	0.6715505985
297	0.671236799
298	0.6710342547
299	0.6707055948
300	0.6701695267
301	0.6699864489
302	0.6697459094
303	0.6689801938
304	0.6684400143
305	0.6682889699
306	0.6678765298
307	0.6673574172
308	0.6670827114
309	0.6670177111
310	0.6668354477
311	0.6665198114
312	0.6663051121
313	0.6659404998
314	0.6656689991
315	0.665239708
316	0.6647638208
317	0.6645115122
318	0.6640706928
319	0.6635950419
320	0.6632124666
321	0.6630105439
322	0.6627861388
323	0.6625313169
324	0.6623352754
325	0.6620756623
326	0.6614794532
327	0.6613428594
328	0.6609653484
329	0.6608401302
330	0.6604080937
331	0.660145515
332	0.6599568003
333	0.6596760162
334	0.6590353502
335	0.6584581771
336	0.6581584214
337	0.657863417
338	0.6576214757
339	0.6572519015
340	0.6569337265
341	0.6566083785
342	0.656396504
343	0.6561733201
344	0.655977184
345	0.6558027134
346	0.6556417332
347	0.6555471976
348	0.6552934055
349	0.6552390891
350	0.6549908732
351	0.6546867665
352	0.6546389049
353	0.6545899447
354	0.6543837351
355	0.6542957288
356	0.6538886872
357	0.6533332805
358	0.6529717976
359	0.6525900405
360	0.6523986736
361	0.6522586527
362	0.6517168809
363	0.6516537132
364	0.6513470398
365	0.6510866507
366	0.6509098077
367	0.6507529042
368	0.6505040105
369	0.6503280427
370	0.6501456715
371	0.6498670721
372	0.6496747598
373	0.6495451328
374	0.6493528415
375	0.6493173379
376	0.6489408088
377	0.648918846
378	0.6486795581
379	0.6484175758
380	0.6481509979
381	0.6477840342
382	0.6477302533
383	0.6474260969
384	0.6472519017
385	0.6469704876
386	0.6467656674
387	0.6464600867
388	0.6462051258
389	0.6461363163
390	0.6459823957
391	0.6458415579
392	0.6456922609
393	0.6454206312
394	0.6452683914
395	0.6450478618
396	0.6447887079
397	0.6446646844
398	0.6444017078
399	0.6443656537
400	0.6441826739
401	0.6436752269
402	0.6435627912
403	0.6433482454
404	0.6432580279
405	0.6430488378
406	0.6429854204
407	0.6424865444
408	0.6423998447
409	0.6419468422
410	0.6418678307
411	0.6413943546
412	0.6412658722
413	0.6408455828
414	0.6407136635
415	0.6407035498
416	0.6405990802
417	0.6403300004
418	0.6402605324
419	0.6397918156
420	0.639656591
421	0.6394961783
422	0.6392819967
423	0.6391212166
424	0.6386900197
425	0.638483543
426	0.6382707254
427	0.6378728899
428	0.637632504
429	0.6375061935
430	0.6370589501
431	0.6366545617
432	0.6366281265
433	0.6365332444
434	0.6362991707
435	0.6360696744
436	0.6359860736
437	0.6358411249
438	0.6356279171
439	0.6353240304
440	0.6351480149
441	0.6350459181
442	0.6346951533
443	0.6344144788
444	0.6342604957
445	0.633934745
446	0.6335601883
447	0.6334207141
448	0.6331394342
449	0.6329158185
450	0.6325629999
451	0.6322349862
452	0.6320187028
453	0.6319001778
454	0.6317498058
455	0.6313265178
456	0.631201898
457	0.6309489703
458	0.6307443281
459	0.6306599965
460	0.6303559269
461	0.6300942936
462	0.6299433524
463	0.6298105906
464	0.6296441467
465	0.6295495857
466	0.6294827872
467	0.6292626489
468	0.6290387593
469	0.6288112005
470	0.6286688054
471	0.6284861328
472	0.6283128537
473	0.6281557446
474	0.6280565668
475	0.6278366564
476	0.6270703496
477	0.6269917614
478	0.6267610703
479	0.6266530209
480	0.6265000169
481	0.6263519184
482	0.6262047847
483	0.6260291277
484	0.6258900795
485	0.6256761997
486	0.625438533
487	0.6251599564
488	0.6249344359
489	0.6247025906
490	0.6244977228
491	0.624415666
492	0.624185891
493	0.6240597377
494	0.6236698776
495	0.623444479
496	0.6232170514
497	0.623099984
498	0.6228550427
499	0.6227492354
500	0.6225593064
501	0.6224392148
502	0.6222749941
503	0.6220426466
504	0.621875003
505	0.6216893289
506	0.6213296675
507	0.6211862231
508	0.6210341553
509	0.6209827443
510	0.6208716216
511	0.6206187931
512	0.6204155754
513	0.6203204842
514	0.6199860002
515	0.6197571985
516	0.6195941751
517	0.619294332
518	0.6191031746
519	0.6189825294
520	0.6186406484
521	0.6184760088
522	0.6183897997
523	0.6179778225
524	0.6178952566
525	0.6178093787
526	0.6176553438
527	0.61757075
528	0.6173749865
529	0.617204509
530	0.6171036269
531	0.6169828812
532	0.6168966174
533	0.61680612
534	0.6166757246
535	0.6164582132
536	0.6163722007
537	0.6162325238
538	0.6159871196
539	0.6158118486
540	0.6156705108
541	0.6156240858
542	0.6154862621
543	0.6153121991
544	0.6152354558
545	0.6150983614
546	0.6149531508
547	0.6147542179
548	0.6146057263
549	0.614454443
550	0.6143348474
551	0.6142939487
552	0.6141834824
553	0.6141473916
554	0.6140788694
555	0.6139475533
556	0.613869034
557	0.6135726073
558	0.6135307113
559	0.6132548959
560	0.6131411589
561	0.6127670774
562	0.6126252598
563	0.6123515499
564	0.6123249849
565	0.612200451
566	0.6120940028
567	0.6119673466
568	0.6116258988
569	0.6115161231
570	0.611388823
571	0.611251115
572	0.6110402557
573	0.6107447611
574	0.6105843359
575	0.610524827
576	0.6104183616
577	0.6102767112
578	0.6101813045
579	0.6098373854
580	0.6096963186
581	0.6094104774
582	0.6093049727
583	0.6091869359
584	0.6089326388
585	0.6088330483
586	0.6087386478
587	0.6085975281
588	0.6085041673
589	0.60845377
590	0.6082181413
591	0.6081056363
592	0.6080599458
593	0.6078616245
594	0.6077193846
595	0.6076362928
596	0.6075666431
597	0.607491077
598	0.6073591332
599	0.6072501033
600	0.6071925547
601	0.6071894834
602	0.6070672275
603	0.6069703577
604	0.6069693028
605	0.6068886406
606	0.6067090007
607	0.6065969778
608	0.606506925
609	0.6063862856
610	0.6062834008
611	0.605928829
612	0.6057062271
613	0.6054750286
614	0.6053893857
615	0.6052373556
616	0.6051931106
617	0.6048811998
618	0.6047452901
619	0.6046326712
620	0.6044764259
621	0.6043545226
622	0.6042326922
623	0.6041541851
624	0.6040407006
625	0.6039169041
626	0.6037318143
627	0.6036222601
628	0.6035903719
629	0.6033007413
630	0.6030349439
631	0.602876274
632	0.6028752572
633	0.6026147341
634	0.6024436587
635	0.6022930439
636	0.6022920717
637	0.602023036
638	0.6018610379
639	0.6017660427
640	0.6017651495
641	0.601563882
642	0.6014878016
643	0.601385242
644	0.6012744401
645	0.6012397754
646	0.601040678
647	0.6010397992
648	0.6008677273
649	0.6007876015
650	0.6005997593
651	0.6004412756
652	0.6002690571
653	0.6002682055
654	0.6001117789
655	0.6000718144
656	0.5999079602
657	0.5997771508
658	0.5996785415
659	0.5995550515
660	0.5994858061
661	0.5993375173
662	0.5992365486
663	0.5989170524
664	0.5986441199
665	0.5985588567
666	0.5984775355
667	0.598364288
668	0.5982429481
669	0.5980772332
670	0.5979819085
671	0.5979339789
672	0.5977464494
673	0.5977140343
674	0.5975760204
675	0.5974874169
676	0.5973979576
677	0.5973209248
678	0.5971055602
679	0.5970728477
680	0.5970225699
681	0.5969419214
682	0.5968071232
683	0.5966582765
684	0.5966097708
685	0.5964202438
686	0.5962921766
687	0.5961936002
688	0.5960424815
689	0.5960416554
690	0.5959132057
691	0.5957631505
692	0.5956794481
693	0.5955615296
694	0.5954925219
695	0.5954315251
696	0.5952845699
697	0.5951617046
698	0.5950698488
699	0.5949560816
700	0.5948711667
701	0.5946221038
702	0.5944859268
703	0.5943951993
704	0.5942522988
705	0.5941573244
706	0.5941567689
707	0.5939453621
708	0.5938811522
709	0.5938610805
710	0.5937490753
711	0.5936888692
712	0.5935562392
713	0.5934160568
714	0.5933014172
715	0.5932176345
716	0.5931282926
717	0.5928349019
718	0.5927459076
719	0.592603123
720	0.5925645145
721	0.5924460194
722	0.5923836233
723	0.5923127754
724	0.5922358968
725	0.5922352223
726	0.5920058744
727	0.5919414838
728	0.5917361575
729	0.5914021029
730	0.5913293135
731	0.5912869065
732	0.5912197295
733	0.591164416
734	0.5910951643
735	0.5909597599
736	0.5908716202
737	0.590870706
738	0.5907710599
739	0.59063905
740	0.5904585341
741	0.5903190003
742	0.5902594889
743	0.5901979315
744	0.5900845522
745	0.5899818384
746	0.5899395451
747	0.5898441168
748	0.5897505946
749	0.5895894933
750	0.5895288241
751	0.5894755468
752	0.5893892114
753	0.589354612
754	0.589298381
755	0.5891687906
756	0.5890689721
757	0.5887753924
758	0.5886865877
759	0.5886300979
760	0.5886187698
761	0.5884898851
762	0.5882790942
763	0.5881204452
764	0.5879905255
765	0.5879778642
766	0.5879168168
767	0.5878172805
768	0.5875689277
769	0.5875185848
770	0.5873885975
771	0.5873301589
772	0.5872742669
773	0.5871743457
774	0.5870431359
775	0.5869810878
776	0.5868962109
777	0.5867841396
778	0.5866479569
779	0.5864467366
780	0.5862627556
781	0.586168228
782	0.5861133434
783	0.5859537597
784	0.5858465768
785	0.5857325304
786	0.5856417429
787	0.5855651267
788	0.5854667589
789	0.5853853093
790	0.5853025872
791	0.585237412
792	0.5851263525
793	0.5850246289
794	0.5849523805
795	0.5848908203
796	0.5847393702
797	0.5846751446
798	0.5845309331
799	0.5844852191
800	0.5844450992
801	0.5843377013
802	0.5842600992
803	0.5841888579
804	0.5840437883
805	0.5840049684
806	0.5839178082
807	0.5838467509
808	0.583798835
809	0.5837209036
810	0.5836370493
811	0.583585717
812	0.5835376044
813	0.5834691986
814	0.5833746329
815	0.5832802219
816	0.5831445254
817	0.5831053151
818	0.5830438381
819	0.5830432285
820	0.583000004
821	0.5828987326
822	0.5827875051
823	0.5827337405
824	0.582618857
825	0.5826025294
826	0.5823889105
827	0.5822786363
828	0.5821726136
829	0.5821093979
830	0.5820154881
831	0.5819626239
832	0.5818232798
833	0.5817310236
834	0.5816681699
835	0.5815858995
836	0.5815522459
837	0.5814966494
838	0.581417695
839	0.581288951
840	0.581186684
841	0.5811328523
842	0.5810941247
843	0.5810563093
844	0.580840574
845	0.5807903916
846	0.5807179861
847	0.5806433621
848	0.580560526
849	0.5804933715
850	0.5803668567
851	0.5802775099
852	0.5801842953
853	0.5800927106
854	0.58006029
855	0.5800268622
856	0.5800123777
857	0.5800119314
858	0.5800114035
859	0.5799308707
860	0.5798384074
861	0.5797923415
862	0.5796892994
863	0.5796052977
864	0.5795480721
865	0.5794337069
866	0.5793306384
867	0.5792827009
868	0.5792822543
869	0.5792817327
870	0.57921613
871	0.5791766964
872	0.5791033136
873	0.5790452336
874	0.5789452806
875	0.5789217027
876	0.5788256573
877	0.5788251624
878	0.5787790535
879	0.5787397672
880	0.5786558593
881	0.5785781946
882	0.5785112436
883	0.5784410058
884	0.5784068293
885	0.5783454405
886	0.5782433108
887	0.5781790679
888	0.5780896077
889	0.5780460518
890	0.5779014312
891	0.5778707386
892	0.5778249897
893	0.5776841088
894	0.577605335
895	0.5775058914
896	0.5773879788
897	0.5772301717
898	0.5771201406
899	0.5770058286
900	0.5769399629
901	0.5769071869
902	0.5766060495
903	0.5765799727
904	0.5765354654
905	0.5764651617
906	0.5763868983
907	0.5762885676
908	0.5762496942
909	0.5760396017
910	0.5760038547
911	0.5759473058
912	0.5758374029
913	0.5757946672
914	0.5755999948
915	0.5755697884
916	0.575501996
917	0.5753508449
918	0.5751701521
919	0.5751697414
920	0.575016579
921	0.5749634903
922	0.5748723739
923	0.5748064215
924	0.5747223226
925	0.5746705942
926	0.5745374112
927	0.574486303
928	0.5743008055
929	0.5741971552
930	0.5741020687
931	0.5740615702
932	0.5739503372
933	0.5738513841
934	0.5737061243
935	0.5736568364
936	0.5735748422
937	0.5732858216
938	0.5732256923
939	0.5732114987
940	0.5731648316
941	0.5731264433
942	0.5729833504
943	0.5729435284
944	0.5728788421
945	0.5728506876
946	0.5728175428
947	0.5727303865
948	0.5726699474
949	0.5725941866
950	0.5724708486
951	0.5724270358
952	0.572367101
953	0.5723477234
954	0.5722938903
955	0.5722306534
956	0.572162487
957	0.5721117702
958	0.5720817925
959	0.5720642344
960	0.572010207
961	0.5719509359
962	0.571897117
963	0.5718527097
964	0.5717728754
965	0.5717332591
966	0.5716742685
967	0.57158582
968	0.5715250246
969	0.5713978814
970	0.5713489713
971	0.5711083425
972	0.5710527636
973	0.5709368084
974	0.5707106617
975	0.5706404131
976	0.5706053406
977	0.5705591896
978	0.5702985925
979	0.5701869236
980	0.5701367714
981	0.570095955
982	0.5700228165
983	0.5699725487
984	0.5699550248
985	0.5699040479
986	0.5698116847
987	0.5697505586
988	0.5696926689
989	0.5696639897
990	0.5696516457
991	0.569600257
992	0.569567444
993	0.5695235322
994	0.5695094802
995	0.5694514866
996	0.5694030524
997	0.5693527003
998	0.5693384799
999	0.5692969937
